rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
57,map,yukina-lt-panevezys,Panevėžys,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,149,149,136,136,snapshot_2026_09_06.json,snapshot_2026_09_03.json
58,map,yukina-lt-siauliai,Šiauliai,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,148,148,135,135,snapshot_2026_09_06.json,snapshot_2026_09_03.json
59,mod,noah-great-society,Great Society Metro Train,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,13,13,60,60,47,47,snapshot_2026_09_06.json,snapshot_2026_09_03.json
60,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,12,12,2759,2759,2747,2747,snapshot_2026_09_06.json,snapshot_2026_09_03.json
61,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,12,12,1670,1670,1658,1658,snapshot_2026_09_06.json,snapshot_2026_09_03.json
62,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,12,12,828,828,816,816,snapshot_2026_09_06.json,snapshot_2026_09_03.json
63,map,istanbul,Istanbul,pierreggt,pierreggt,https://github.com/pierreggt,12,12,474,474,462,462,snapshot_2026_09_06.json,snapshot_2026_09_03.json
64,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,11,11,3754,3754,3743,3743,snapshot_2026_09_06.json,snapshot_2026_09_03.json
65,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,11,11,2576,2576,2565,2565,snapshot_2026_09_06.json,snapshot_2026_09_03.json
66,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,11,11,1054,1054,1043,1043,snapshot_2026_09_06.json,snapshot_2026_09_03.json
67,map,yukina-tokyo,東京 (Tōkyō),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,11,11,781,781,770,770,snapshot_2026_09_06.json,snapshot_2026_09_03.json
68,map,au-melbourne,Melbourne,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,11,11,475,475,464,464,snapshot_2026_09_06.json,snapshot_2026_09_03.json
69,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,10,10,2094,2094,2084,2084,snapshot_2026_09_06.json,snapshot_2026_09_03.json
70,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,10,10,1797,1797,1787,1787,snapshot_2026_09_06.json,snapshot_2026_09_03.json
71,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,10,10,1730,1730,1720,1720,snapshot_2026_09_06.json,snapshot_2026_09_03.json
72,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,10,10,1138,1138,1128,1128,snapshot_2026_09_06.json,snapshot_2026_09_03.json
73,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,10,10,1010,1010,1000,1000,snapshot_2026_09_06.json,snapshot_2026_09_03.json
74,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,10,10,985,985,975,975,snapshot_2026_09_06.json,snapshot_2026_09_03.json
75,map,seoul,Seoul,cromstar,cromstar,https://github.com/cromstar,10,10,348,348,338,338,snapshot_2026_09_06.json,snapshot_2026_09_03.json
76,map,baghdad,Baghdad,pierreggt,pierreggt,https://github.com/pierreggt,10,10,90,90,80,80,snapshot_2026_09_06.json,snapshot_2026_09_03.json
77,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,1166,1166,1157,1157,snapshot_2026_09_06.json,snapshot_2026_09_03.json
78,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,9,9,1017,1017,1008,1008,snapshot_2026_09_06.json,snapshot_2026_09_03.json
79,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,940,940,931,931,snapshot_2026_09_06.json,snapshot_2026_09_03.json
80,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,753,753,744,744,snapshot_2026_09_06.json,snapshot_2026_09_03.json
81,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,9,743,743,734,734,snapshot_2026_09_06.json,snapshot_2026_09_03.json
82,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,9,9,738,738,729,729,snapshot_2026_09_06.json,snapshot_2026_09_03.json
83,map,au-syd2,Sydney,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,9,418,418,409,409,snapshot_2026_09_06.json,snapshot_2026_09_03.json
84,mod,intercity-hsr-trains,"Intercity, HSR & Express Metro Trains",danielloong714,danielloong714,https://github.com/danielloong714,9,9,176,176,167,167,snapshot_2026_09_06.json,snapshot_2026_09_03.json
85,map,nantes,Nantes,pierreggt,pierreggt,https://github.com/pierreggt,9,9,161,161,152,152,snapshot_2026_09_06.json,snapshot_2026_09_03.json
86,map,doha,Doha,pierreggt,pierreggt,https://github.com/pierreggt,9,9,31,31,22,22,snapshot_2026_09_06.json,snapshot_2026_09_03.json
87,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,8,8,2163,2163,2155,2155,snapshot_2026_09_06.json,snapshot_2026_09_03.json
88,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,8,8,1368,1368,1360,1360,snapshot_2026_09_06.json,snapshot_2026_09_03.json
89,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,8,8,1091,1091,1083,1083,snapshot_2026_09_06.json,snapshot_2026_09_03.json
90,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,8,8,582,582,574,574,snapshot_2026_09_06.json,snapshot_2026_09_03.json
91,map,kiel,Kiel,pierreggt,pierreggt,https://github.com/pierreggt,8,8,31,31,23,23,snapshot_2026_09_06.json,snapshot_2026_09_03.json
92,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,7,7,1334,1334,1327,1327,snapshot_2026_09_06.json,snapshot_2026_09_03.json
93,map,yukina-keihanshin,京阪神 (Keihanshin),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,1210,1210,1203,1203,snapshot_2026_09_06.json,snapshot_2026_09_03.json
94,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,7,7,976,976,969,969,snapshot_2026_09_06.json,snapshot_2026_09_03.json
95,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,7,7,897,897,890,890,snapshot_2026_09_06.json,snapshot_2026_09_03.json
96,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,7,7,703,703,696,696,snapshot_2026_09_06.json,snapshot_2026_09_03.json
97,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,7,661,661,654,654,snapshot_2026_09_06.json,snapshot_2026_09_03.json
98,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,629,629,622,622,snapshot_2026_09_06.json,snapshot_2026_09_03.json
99,map,lyon,Lyon - Vallée du Rhône & Alpes,pierreggt,pierreggt,https://github.com/pierreggt,7,7,357,357,350,350,snapshot_2026_09_06.json,snapshot_2026_09_03.json
100,map,nz-auckland,Auckland,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,7,7,324,324,317,317,snapshot_2026_09_06.json,snapshot_2026_09_03.json
101,map,lille,Lille - Flandre & Hainaut,pierreggt,pierreggt,https://github.com/pierreggt,7,7,226,226,219,219,snapshot_2026_09_06.json,snapshot_2026_09_03.json
102,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,6,6,1202,1202,1196,1196,snapshot_2026_09_06.json,snapshot_2026_09_03.json
103,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,1154,1154,1148,1148,snapshot_2026_09_06.json,snapshot_2026_09_03.json
104,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,1126,1126,1120,1120,snapshot_2026_09_06.json,snapshot_2026_09_03.json
105,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,6,6,1113,1113,1107,1107,snapshot_2026_09_06.json,snapshot_2026_09_03.json
106,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,6,6,1048,1048,1042,1042,snapshot_2026_09_06.json,snapshot_2026_09_03.json
107,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,823,823,817,817,snapshot_2026_09_06.json,snapshot_2026_09_03.json
108,map,quebec-city,Quebec City,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,6,6,669,669,663,663,snapshot_2026_09_06.json,snapshot_2026_09_03.json
109,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,593,593,587,587,snapshot_2026_09_06.json,snapshot_2026_09_03.json
110,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,6,6,566,566,560,560,snapshot_2026_09_06.json,snapshot_2026_09_03.json
111,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,6,6,556,556,550,550,snapshot_2026_09_06.json,snapshot_2026_09_03.json
112,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,386,386,380,380,snapshot_2026_09_06.json,snapshot_2026_09_03.json
113,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,6,6,373,373,367,367,snapshot_2026_09_06.json,snapshot_2026_09_03.json
114,mod,train-anarchy,Train Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,6,6,371,371,365,365,snapshot_2026_09_06.json,snapshot_2026_09_03.json
115,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,367,367,361,361,snapshot_2026_09_06.json,snapshot_2026_09_03.json
116,map,marseille,Marseille - Provence,pierreggt,pierreggt,https://github.com/pierreggt,6,6,311,311,305,305,snapshot_2026_09_06.json,snapshot_2026_09_03.json
117,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,6,6,287,287,281,281,snapshot_2026_09_06.json,snapshot_2026_09_03.json
118,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,269,269,263,263,snapshot_2026_09_06.json,snapshot_2026_09_03.json
119,map,mfn-msy,New Orleans,crumpetime,muffintime,https://github.com/crumpetime,6,6,254,254,248,248,snapshot_2026_09_06.json,snapshot_2026_09_03.json
120,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,251,251,245,245,snapshot_2026_09_06.json,snapshot_2026_09_03.json
121,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,246,246,240,240,snapshot_2026_09_06.json,snapshot_2026_09_03.json
122,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,241,241,235,235,snapshot_2026_09_06.json,snapshot_2026_09_03.json
123,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,240,240,234,234,snapshot_2026_09_06.json,snapshot_2026_09_03.json
124,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,237,237,231,231,snapshot_2026_09_06.json,snapshot_2026_09_03.json
125,map,connecticut-usa,Connecticut,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,200,200,194,194,snapshot_2026_09_06.json,snapshot_2026_09_03.json
126,map,buffalo-ny,Buffalo,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,198,198,192,192,snapshot_2026_09_06.json,snapshot_2026_09_03.json
127,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,198,198,192,192,snapshot_2026_09_06.json,snapshot_2026_09_03.json
128,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,193,193,187,187,snapshot_2026_09_06.json,snapshot_2026_09_03.json
129,map,au-adelaide,Adelaide,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,6,6,188,188,182,182,snapshot_2026_09_06.json,snapshot_2026_09_03.json
130,map,toulouse,Toulouse,pierreggt,pierreggt,https://github.com/pierreggt,6,6,188,188,182,182,snapshot_2026_09_06.json,snapshot_2026_09_03.json
131,map,mfn-northwestar,Northwest Arkansas,crumpetime,muffintime,https://github.com/crumpetime,6,6,168,168,162,162,snapshot_2026_09_06.json,snapshot_2026_09_03.json
132,map,willamette-valley,"Willamette Valley, OR",Phineapoo,Phineapoo,https://github.com/Phineapoo,6,6,165,165,159,159,snapshot_2026_09_06.json,snapshot_2026_09_03.json
133,map,piedmont-triad,Piedmont Triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,161,161,155,155,snapshot_2026_09_06.json,snapshot_2026_09_03.json
134,map,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,160,160,154,154,snapshot_2026_09_06.json,snapshot_2026_09_03.json
135,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,6,6,151,151,145,145,snapshot_2026_09_06.json,snapshot_2026_09_03.json
136,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,147,147,141,141,snapshot_2026_09_06.json,snapshot_2026_09_03.json
137,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,128,128,122,122,snapshot_2026_09_06.json,snapshot_2026_09_03.json
138,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,6,6,125,125,119,119,snapshot_2026_09_06.json,snapshot_2026_09_03.json
139,map,syracuse-ny,"Syracuse, NY",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,6,6,114,114,108,108,snapshot_2026_09_06.json,snapshot_2026_09_03.json
140,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,6,6,100,100,94,94,snapshot_2026_09_06.json,snapshot_2026_09_03.json
141,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,6,6,99,99,93,93,snapshot_2026_09_06.json,snapshot_2026_09_03.json
142,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,6,6,93,93,87,87,snapshot_2026_09_06.json,snapshot_2026_09_03.json
143,map,grand-geneve,Grand Genève,pierreggt,pierreggt,https://github.com/pierreggt,6,6,74,74,68,68,snapshot_2026_09_06.json,snapshot_2026_09_03.json
144,map,eurodistrict-bale,Eurodistrict of Basel,pierreggt,pierreggt,https://github.com/pierreggt,6,6,65,65,59,59,snapshot_2026_09_06.json,snapshot_2026_09_03.json
145,map,stuttgart,Stuttgart,pierreggt,pierreggt,https://github.com/pierreggt,6,6,44,44,38,38,snapshot_2026_09_06.json,snapshot_2026_09_03.json
146,map,erfurt,Erfurt,pierreggt,pierreggt,https://github.com/pierreggt,6,6,29,29,23,23,snapshot_2026_09_06.json,snapshot_2026_09_03.json
147,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,5,5,2560,2560,2555,2555,snapshot_2026_09_06.json,snapshot_2026_09_03.json
148,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,5,5,1703,1703,1698,1698,snapshot_2026_09_06.json,snapshot_2026_09_03.json
149,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,5,5,1069,1069,1064,1064,snapshot_2026_09_06.json,snapshot_2026_09_03.json
150,map,opo-pt-metropolitan,"Porto, Portugal",bquelhas,bquelhas,https://github.com/bquelhas,5,5,871,871,866,866,snapshot_2026_09_06.json,snapshot_2026_09_03.json
151,map,ottawa,Ottawa,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,5,5,856,856,851,851,snapshot_2026_09_06.json,snapshot_2026_09_03.json
152,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,5,5,375,375,370,370,snapshot_2026_09_06.json,snapshot_2026_09_03.json
153,mod,danield1909-realism-pathfinding,Pathfinding Realism Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,5,5,268,268,263,263,snapshot_2026_09_06.json,snapshot_2026_09_03.json
