listing_type,listing_id,version,credited_author_id
map,opo-pt-metropolitan,v0.4.3,Capitao-piolho
map,orange-county,1.0.3,rslurry
map,orange-county,1.1.0,rslurry
map,orlando,1.1.1,rslurry
map,orlando,1.2.0,rslurry
map,oslo-no,1.0.0,rslurry
map,oslo-no,1.1.0,rslurry
map,ottawa,1.0.1,devenperez
map,ottawa,1.1.3,devenperez
map,ottawa,2.0.2,devenperez
map,ottawa,2.1.0,devenperez
map,palermo,1.0.0,Maximilian284
map,palermo,1.1.0,Maximilian284
map,palma-de-mallorca,1.0.0,Maximilian284
map,paris-ile-de-france,v1.0.0,pierreggt
map,paris-ile-de-france,v1.0.5,pierreggt
map,pianura-emiliana,1.0.0,Maximilian284
map,pianura-emiliana,1.1.0,Maximilian284
map,pianura-veneta,1.0.0,Maximilian284
map,pianura-veneta,1.1.0,Maximilian284
map,piedmont-triad,1.0.0,PSWBSF
map,piedmont-triad,v1.0.0,PSWBSF
map,piura,1.0.0,kaicardenas0618
map,providence,1.0.0,soccerjonj
map,puebla,1.0.0,rslurry
map,puebla,1.1.0,rslurry
map,puebla,1.1.1,rslurry
map,puebla,1.2.0,rslurry
map,puebla,1.3.1,rslurry
map,puerto-rico,1.0.1,rslurry
map,puerto-rico,1.1.0,rslurry
map,pulau-pinang,1.0.0,nzh0172
map,pyongyang-nk,1.0.0,PSWBSF
map,quebec-city,1.0.1,devenperez
map,quebec-city,1.1.3,devenperez
map,quebec-city,2.0.1,devenperez
map,quebec-city,2.1.0,devenperez
map,rennes,v1.0.0,pierreggt
map,rhode-island,1.0.0,rslurry
map,rhode-island,1.1.0,rslurry
map,richmond,1.1.0,rslurry
map,richmond,1.2.0,rslurry
map,riviera-romagnola,1.0.0,Maximilian284
map,riviera-romagnola,1.1.0,Maximilian284
map,rochester,1.1.0,rslurry
map,rochester,1.2.0,rslurry
map,rome,1.0.0,Maximilian284
map,rome,1.1.0,Maximilian284
map,rotterdam-the-hague,1.0.0,ryandicicco
map,rotterdam-the-hague,1.1.0,ryandicicco
map,rotterdam-the-hague,1.1.1,ryandicicco
map,sacramento,1.0.0,soccerjonj
map,saltillo,1.0.0,rslurry
map,saltillo,1.1.0,rslurry
map,saltillo,1.1.1,rslurry
map,saltillo,1.1.2,rslurry
map,saltillo,1.2.0,rslurry
map,saltillo,1.3.0,rslurry
map,saltillo,1.3.1,rslurry
map,san-antonio,1.1.1,rslurry
map,san-antonio,1.2.0,rslurry
map,san-juan,1.0.0,rslurry
map,san-juan,1.1.0,rslurry
map,santa-barbara,1.0.1,rslurry
map,santa-barbara,1.1.0,rslurry
map,sejong-3,0.1.0,kimth9
map,sejong-3,0.1.1,kimth9
map,sejong-3,0.2.0,kimth9
map,sejong-4,0.1.0,kimth9
map,sejong-4,0.1.1,kimth9
map,sejong-4,0.2.0,kimth9
map,seoul,0.5.7,cromstar
map,seoul,0.5.8,cromstar
map,seoul-3,0.1.0,kimth9
map,seoul-3,0.1.1,kimth9
map,seoul-3,0.2.0,kimth9
map,seoul-4,0.1.0,kimth9
map,seoul-4,0.1.1,kimth9
map,seoul-4,0.2.0,kimth9
map,sevilla,1.0.0,Maximilian284
map,shanghai,1.0.0,Kronifer
map,shanghai,1.1.0,Kronifer
map,shanghai,1.2.0,Kronifer
map,shenzhen,1.0.0,Kronifer
map,shenzhen,1.1.0,Kronifer
map,shenzhen,1.2.0,Kronifer
map,singapore-val,1.0.0,Valdotorium
map,singapore-val,1.1.0,Valdotorium
map,sofia-bulgaria,v1.0.0,giannons46
map,sofia-bulgaria,v1.0.1,giannons46
map,south-florida,v1.0.0,kaicardenas0618
map,south-florida,v1.1.0,kaicardenas0618
map,south-florida,v2.0.0,kaicardenas0618
map,spokane,1.0.0,ryandicicco
map,spokane,2.0.0,ryandicicco
map,spokane,2.1.0,ryandicicco
map,spokane,2.2.0,ryandicicco
map,spokane,2.2.1,ryandicicco
map,springfield-il,v1.0.0,NerdieSanders
map,strasbourg,v1.0.0,pierreggt
map,sydney,1.0.0,WillBarouch
map,sydney,1.1.0,WillBarouch
map,sydney,1.2.0,WillBarouch
map,syracuse-ny,1.0.0,PSWBSF
map,tampa-bay,1.1.0,rslurry
map,tampa-bay,1.2.0,rslurry
map,tampa-bay,1.3.2,rslurry
map,tampa-bay,1.3.3,rslurry
map,tampa-bay,1.3.4,rslurry
map,tel-aviv,v1.2.0,BarKuperman
map,tel-aviv,v1.3.0,BarKuperman
