rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
84,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,464,464,snapshot_2026_07_27.json
85,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,460,460,snapshot_2026_07_27.json
86,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,450,450,snapshot_2026_07_27.json
87,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,450,450,snapshot_2026_07_27.json
88,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,449,449,snapshot_2026_07_27.json
89,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,448,448,snapshot_2026_07_27.json
90,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,444,444,snapshot_2026_07_27.json
91,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,443,443,snapshot_2026_07_27.json
92,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,434,434,snapshot_2026_07_27.json
93,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,425,425,snapshot_2026_07_27.json
94,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,422,422,snapshot_2026_07_27.json
95,map,yukina-keihanshin,京阪神 (Keihanshin),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,404,404,snapshot_2026_07_27.json
96,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,399,399,snapshot_2026_07_27.json
97,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,394,394,snapshot_2026_07_27.json
98,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,394,394,snapshot_2026_07_27.json
99,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,382,382,snapshot_2026_07_27.json
100,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,380,380,snapshot_2026_07_27.json
101,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,376,376,snapshot_2026_07_27.json
102,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,373,373,snapshot_2026_07_27.json
103,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,370,370,snapshot_2026_07_27.json
104,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,369,369,snapshot_2026_07_27.json
