rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
51,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,BUC,RO,2583210,64703,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,TAE4,KR,2539651,39266,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,TAE3,KR,2539106,38216,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,DAJ4,KR,2530016,36115,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,YUL,CA,2523330,21051,8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,puebla,Puebla,rslurry,slurry,https://github.com/rslurry,PBC,MX,2506293,73695,8438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,TLV,IL,2497200,12486,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,DCA,US,2440998,106957,6641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,WAR,PL,2321651,58517,36700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,yukina-kobe-akashi,神戸・姫路 (Kōbe & Himeji),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKB,JP,2287760,49898,20725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,au-melbourne,Melbourne,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,MEL,AU,2266389,18045,9542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,au-syd2,Sydney,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,SYD2,AU,2253174,18109,8268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,DAJ3,KR,2201895,32378,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KBP,UA,2166171,45822,22774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,OKC,US,2163635,71065,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,UKY,JP,2162459,43766,15697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,ZRH,CH,2147370,98878,39672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,KWJ4,KR,2140345,32755,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,KWJ3,KR,2134804,32341,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,WAW,PL,2115324,19327,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,KMSP,US,2071369,40632,5807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,ROM,IT,1920000,28808,10725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
